Vote by county	Paper	Trump	Clinton		Romney	Obama	Others	Total	Percent College	Percent White
Adams	0	5,983	3,780		4,644	5,542	101	10,287	12.1	94
Ashland	1	3,428	4,136		2,820	5,399	153	8,372	21.7	84.7
Barron	0	13,595	7,881		11,443	10,890	359	22,692	16.2	96.1
Bayfield	1	4,125	4,953		3,606	6,033	149	9,788	28.5	86.2
Brown	1	67,192	53,358		64,836	62,526	1,566	128,928	26.8	89.3
Buffalo	0	4,049	2,531		3,364	3,570	105	7,039	17.2	98
Burnett	0	5,412	2,948		4,550	3,986	141	8,677	16.7	91.5
Calumet	0	15,345	9,634		14,539	11,489	392	26,420	27.6	95.4
Chippewa	0	17,912	11,875		15,322	15,237	373	30,932	18.6	95.4
Clark	0	8,645	4,225		7,412	6,172	217	13,801	11.6	97.6
Columbia	1	14,160	13,525		13,026	17,175	453	30,654	21.3	96.2
Crawford	0	3,844	3,426		3,067	4,629	121	7,817	15.4	96.5
Dane	1	71,270	217,506		83,644	216,071	4,466	304,181	46.6	86.4
Dodge	0	26,643	13,968		25,211	18,762	515	44,488	15.8	95
Door	1	8,584	8,026		8,121	9,357	193	17,671	29	97.1
Douglas	1	9,657	11,342		7,705	14,863	326	22,894	21.7	93.1
Dunn	0	11,487	9,025		10,224	11,316	452	21,992	24.7	94.9
Eau Claire	0	23,301	27,271		23,256	30,666	884	54,806	31	93.1
Florence	0	1,897	666		1,645	953	27	2,625	14.5	97.1
Fond du Lac	1	31,044	17,391		30,355	22,379	668	53,402	20	95.4
Forest	0	2,787	1,583		2,172	2,425	51	4,648	12.2	81.7
Grant	0	12,347	10,047		10,255	13,594	399	24,248	19.1	97
Green	1	8,693	9,121		7,857	11,206	259	19,322	20.6	97.6
Green Lake	0	6,210	2,700		5,782	3,793	100	9,675	16.6	97.6
Iowa	0	4,809	6,669		4,287	8,105	142	12,534	21.7	97.8
Iron	0	2,090	1,273		1,790	1,784	58	3,632	20.8	97.3
Jackson	0	4,907	3,821		3,900	5,298	115	9,313	14.8	88.9
Jefferson	0	23,409	16,559		23,517	20,158	606	44,281	23	96.6
Juneau	0	7,188	4,100		5,411	6,242	174	11,827	12.4	94.4
Kenosha	1	36,025	35,770		34,977	44,867	1,053	80,897	23.2	87.9
Kewaunee	0	6,616	3,623		5,747	5,153	137	11,037	13.5	97.7
La Crosse	1	26,384	32,402		25,751	36,693	1,018	63,462	29.9	92
Lafayette	0	3,977	3,288		3,314	4,536	102	7,952	16.5	97.9
Langlade	0	6,436	3,260		5,816	4,573	130	10,519	13.2	96.3
Lincoln	1	8,400	5,370		7,455	7,563	198	15,216	14.5	97.2
Manitowoc	0	23,234	14,563		21,604	20,403	610	42,617	18.7	94.8
Marathon	0	39,010	26,476		36,617	32,363	882	69,862	22.2	91.8
Marinette	0	12,995	6,243		10,619	9,882	276	20,777	13.6	97.2
Marquette	0	4,712	2,808		3,992	4,014	99	8,105	12.9	97.3
Menominee	0	269	1,003		179	1,191	7	1,377	15.8	12.2
Milwaukee	1	126,091	288,986		154,924	332,438	5,214	492,576	28.1	65.6
Monroe	0	11,442	7,047		9,675	9,515	295	19,485	17.4	95
Oconto	0	13,255	5,886		10,741	8,865	253	19,859	14.9	96.9
Oneida	0	11,677	8,103		10,917	10,452	283	21,652	23.6	96.6
Outagamie	0	51,579	38,117		47,372	45,659	1,538	94,569	26.4	92.2
Ozaukee	1	30,458	20,167		36,077	19,159	581	55,817	44.9	95
Pepin	0	2,228	1,345		1,794	1,876	29	3,699	17.1	98.1
Pierce	0	11,260	8,380		10,397	10,235	388	21,020	25.7	96.7
Polk	0	13,864	7,568		12,094	10,073	406	22,573	19.3	96.9
Portage	1	17,310	18,524		16,615	22,075	647	39,337	27.5	94.7
Price	0	4,562	2,671		3,884	3,887	130	7,901	15.3	96.8
Racine	0	46,620	42,506		49,347	53,008	1,009	103,364	23	84.4
Richland	0	4,021	3,577		3,573	4,969	113	8,655	15	97.5
Rock	1	31,483	39,336		30,517	49,219	954	80,690	19.4	91
Rusk	0	4,564	2,171		3,676	3,397	118	7,191	14.3	97.5
Sauk	1	15,871	16,050		12,838	18,736	353	31,927	21	95.9
Sawyer	0	4,625	2,846		4,442	4,486	97	9,025	22	78.8
Shawano	0	12,742	6,056		11,022	9,000	257	20,279	15.3	88.9
Sheboygan	0	32,368	22,636		34,072	27,918	661	62,651	22.4	91.5
St. Croix	1	26,123	17,496		25,503	19,910	812	46,225	33	96.5
Taylor	0	6,589	2,398		5,601	3,763	148	9,512	13.6	98.1
Trempealeau	0	7,370	5,645		5,707	7,605	169	13,481	17.5	97.5
Vernon	0	6,994	6,351		5,942	8,044	283	14,269	19.5	98
Vilas	0	8,169	4,769		7,749	5,951	142	13,842	24.1	87
Walworth	0	28,848	18,706		29,006	22,552	745	52,303	26.2	96.1
Washburn	0	5,404	3,283		4,699	4,447	141	9,287	20.3	96.1
Washington	1	51,729	20,854		54,765	23,166	811	78,742	27.6	96.3
Waukesha	1	145,519	79,199		162,798	78,779	2,279	243,856	40.2	93.9
Waupaca	0	16,013	8,303		14,002	11,578	260	25,840	16.6	97.6
Waushara	0	7,669	3,802		6,562	5,335	151	12,048	14.3	95.6
Winnebago	1	43,447	37,054		42,122	45,449	1,602	89,173	25.5	93.1
Wood	1	21,502	14,232		19,704	18,581	615	38,900	18.8	95.5